concept_id,evidence,id,preferred,recorded_at,register,rejected,responsible_workflow,schema_name,schema_version,scope,source_locale,source_term,status,supersedes_id,target_locale,variants
concept.short-selling,Chapter 3 terminology decision,term.free-variable.id,variabel bebas,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,variable domain unrestricted in sign,en,free variable,approved,,id-ID,[]
concept.gaussian-elimination,Full-corpus id-ID terminology audit,term.gaussian-elimination.id,eliminasi Gauss,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,Gaussian elimination,approved,,id-ID,[]
concept.graph-coloring,Full-corpus id-ID terminology audit,term.graph-coloring.id,pewarnaan graf,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,graph coloring,approved,,id-ID,[]
concept.graph-theory,Chapter 4 terminology decision,term.graph.id,graf,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,network modeling,en,graph,approved,,id-ID,[]
concept.graphical-lp-method,Chapter 5 terminology decision,term.graphical-method.id,metode grafis,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,two-variable linear programming,en,graphical method,approved,,id-ID,[]
concept.halfspace,Chapter 6 terminology decision,term.halfspace.id,setengah ruang,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,polyhedral geometry,en,halfspace,approved,,id-ID,[]
concept.hamilton-circuit,Full-corpus id-ID terminology audit,term.hamilton-circuit.id,sirkuit Hamilton,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,Hamilton circuit,approved,,id-ID,[]
concept.infeasible-linear-program,Chapter 5 terminology decision,term.infeasible.id,tak layak,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,linear programming status,en,infeasible,approved,,id-ID,"[""tidak layak""]"
concept.integer-linear-programming,Final id-ID corpus terminology audit,term.integer-linear-programming.id,pemrograman linear bilangan bulat,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,integer linear programming,approved,,id-ID,[]
concept.inventory-balance,O018 README and Chapter 1 exercise ex:shirt-full-lp,term.inventory-balance.id,keseimbangan persediaan,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,shirt-ordering model,en,inventory balance,source_frozen,,id-ID,[]
concept.job-shop-scheduling,Full-corpus id-ID terminology audit,term.job-shop-scheduling.id,penjadwalan job shop,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,job-shop scheduling,approved,,id-ID,[]
concept.knapsack-model,Chapter 2 Knapsack Problem subsection,term.knapsack.id,masalah ransel,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,binary integer-programming model class,en,knapsack problem,approved,,id-ID,"[""model ransel""]"
concept.kruskal-algorithm,Full-corpus id-ID terminology audit,term.kruskal-algorithm.id,algoritme Kruskal,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,Kruskal algorithm,approved,,id-ID,[]
concept.learning-outcomes,first-boundary editorial terminology decision,term.learning-outcomes.id,capaian pembelajaran,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,pedagogy,en,learning outcomes,approved,,id-ID,[]
concept.pivot-operation,Chapter 7 terminology decision,term.leaving-variable.id,variabel keluar,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,simplex pivot,en,leaving variable,approved,,id-ID,[]
concept.level-curve,Chapter 5 terminology decision,term.level-curve.id,kurva aras,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,linear objective geometry,en,level curve,approved,,id-ID,"[""garis aras""]"
concept.lexicographic-optimization,Full-corpus id-ID terminology audit,term.lexicographic-optimization.id,optimisasi leksikografis,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,lexicographic optimization,approved,,id-ID,[]
concept.linear-combination,Chapter 6 terminology decision,term.linear-combination.id,kombinasi linier,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,linear algebra and polyhedral theory,en,linear combination,approved,,id-ID,[]
concept.linear-independence,Chapter 6 terminology decision,term.linear-independence.id,kebebasan linier,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,linear algebra,en,linear independence,approved,,id-ID,"[""independensi linier""]"
concept.linear-programming,first-boundary editorial decision; 2026-08-22 Indonesian field-usage QA validated the preferred form and added linier spelling variants for retrieval,term.linear-programming.id,pemrograman linear,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,model class; abbreviation LP retained,en,linear programming,approved,,id-ID,"[""program linear"",""pemrograman linier"",""program linier""]"
concept.linear-system,Full-corpus id-ID terminology audit,term.linear-system.id,sistem persamaan linear,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,system of linear equations,approved,,id-ID,[]
concept.logical-binary-constraints,Full-corpus id-ID terminology audit,term.logical-binary-constraints.id,kendala logis biner,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,logical binary constraints,approved,,id-ID,[]
concept.loss-function,first-boundary editorial terminology decision,term.loss-function.id,fungsi kerugian,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,machine learning,en,loss function,approved,,id-ID,[]
concept.linear-programming,Chapter 2 staffing and bakery models,term.lp-relaxation.id,relaksasi LP,2026-08-23T00:00:00+02:00,technical,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,continuous relaxation of an integer model,en,LP relaxation,approved,,id-ID,"[""relaksasi pemrograman linear""]"
concept.machine-learning-optimization,Final id-ID corpus terminology audit,term.machine-learning-optimization.id,optimisasi dalam pembelajaran mesin,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,optimization in machine learning,approved,,id-ID,[]
concept.mathematical-programming,first-boundary editorial terminology decision,term.mathematical-programming.id,pemrograman matematis,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,discipline and model class,en,mathematical programming,approved,,id-ID,"[""optimisasi matematis""]"
concept.matrix-arithmetic,Full-corpus id-ID terminology audit,term.matrix-arithmetic.id,aritmetika matriks,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,matrix arithmetic,approved,,id-ID,[]
concept.matrix-inverse,Full-corpus id-ID terminology audit,term.matrix-inverse.id,invers matriks,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,matrix inverse,approved,,id-ID,[]
concept.matrix-rank,Chapter 6 terminology decision,term.matrix-rank.id,rank matriks,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,linear algebra,en,matrix rank,approved,,id-ID,"[""peringkat matriks""]"
concept.assignment-fairness,Chapter 4 terminology decision,term.max-min-fairness.id,keadilan maks-min,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,assignment fairness objectives,en,max-min fairness,approved,,id-ID,[]
concept.maximum-flow,Chapter 4 terminology decision,term.maximum-flow.id,aliran maksimum,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,network optimization,en,maximum flow,approved,,id-ID,[]
concept.assignment-fairness,Chapter 4 terminology decision,term.min-max-fairness.id,keadilan min-maks,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,assignment fairness objectives,en,min-max fairness,approved,,id-ID,[]
concept.network-flow,Chapter 4 terminology decision,term.minimum-cost-flow.id,aliran berbiaya minimum,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,network optimization,en,minimum-cost flow,approved,,id-ID,"[""aliran biaya minimum""]"
concept.minimum-cut,Chapter 4 terminology decision,term.minimum-cut.id,potongan minimum,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,maximum-flow/minimum-cut theory,en,minimum cut,approved,,id-ID,[]
concept.minimum-spanning-tree,Full-corpus id-ID terminology audit,term.minimum-spanning-tree.id,pohon merentang minimum,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,minimum spanning tree,approved,,id-ID,[]
concept.mixed-integer-linear-programming,first-boundary editorial terminology decision,term.mixed-integer-linear-programming.id,pemrograman linear bilangan bulat campuran,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,model class; abbreviation MILP retained,en,mixed-integer linear programming,approved,,id-ID,[]
concept.mixed-integer-nonlinear-programming,Final id-ID corpus terminology audit,term.mixed-integer-nonlinear-programming.id,pemrograman nonlinier bilangan bulat campuran,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,mixed-integer nonlinear programming,approved,,id-ID,[]
concept.model-development-cycle,Final id-ID corpus terminology audit,term.model-development-cycle.id,siklus pengembangan model,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,model development cycle,approved,,id-ID,[]
concept.modeling,first-boundary editorial terminology decision,term.modeling.id,pemodelan,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,general,en,modeling,approved,,id-ID,[]
concept.multi-period-investment,Chapter 4 terminology decision,term.multi-period-capital-investment.id,investasi modal multiperiodik,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,capital-allocation modeling,en,multi-period capital investment,approved,,id-ID,"[""investasi modal multi-periode""]"
concept.multicommodity-flow,Chapter 4 terminology decision,term.multicommodity-flow.id,aliran multikomoditas,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,network optimization,en,multicommodity flow,approved,,id-ID,[]
concept.multiobjective-optimization,Full-corpus id-ID terminology audit,term.multiobjective-optimization.id,optimisasi multiobjektif,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,multiobjective optimization,approved,,id-ID,[]
concept.nonconvex-optimization,first-boundary editorial terminology decision,term.nonconvex.id,nonkonveks,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,geometry and optimization,en,nonconvex,approved,,id-ID,[]
concept.nonlinear-programming,first-boundary editorial terminology decision,term.nonlinear-programming.id,pemrograman nonlinier,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,model class; abbreviation NLP retained,en,nonlinear programming,approved,,id-ID,"[""pemrograman nonlinear""]"
concept.computational-complexity,first-boundary editorial terminology decision,term.np-hard.id,NP-hard,2026-08-23T00:00:00+02:00,technical,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,complexity class; formal token retained and gloss permitted,en,NP-hard,approved,,id-ID,"[""NP-sukar""]"
concept.objective-function,first-boundary editorial decision; 2026-08-22 Indonesian field-usage QA retained the preferred form and added a modern retrieval variant,term.objective-function.id,fungsi tujuan,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,optimization model,en,objective function,approved,,id-ID,"[""fungsi objektif""]"
concept.open-source-solver,O018 README and attribution,term.open-source-solver.id,pemecah sumber terbuka,2026-08-23T00:00:00+02:00,technical,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,O018 computational laboratory,en,open-source solver,source_frozen,,id-ID,"[""solver sumber terbuka""]"
concept.operations-research,first-boundary editorial terminology decision,term.operations-research.id,riset operasi,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,discipline,en,operations research,approved,,id-ID,"[""penelitian operasi""]"
concept.optimization-model,Final id-ID corpus terminology audit,term.optimization-model.id,model optimisasi,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,optimization model,approved,,id-ID,[]
concept.optimization,first-boundary editorial decision; 2026-08-22 Indonesian field-usage QA confirmed both forms in mathematical usage and did not justify a mass replacement,term.optimization.id,optimisasi,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,general,en,optimization,approved,,id-ID,"[""optimasi""]"
concept.pareto-optimality,Full-corpus id-ID terminology audit,term.pareto-optimality.id,optimalitas Pareto,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,Pareto optimality,approved,,id-ID,[]
concept.partitioned-variables,Final id-ID corpus terminology audit,term.partitioned-variables.id,pemartisian variabel basis dan nonbasis,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,basic and nonbasic variable partition,approved,,id-ID,[]
concept.phase-one,Chapter 7 terminology decision,term.phase-one.id,Fase I,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,simplex initialization,en,Phase I,approved,,id-ID,"[""fase pertama""]"
concept.pivot-operation,Chapters 7--9 terminology decision,term.pivot.id,pivot,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,simplex method,en,pivot,approved,,id-ID,"[""operasi pivot""]"
concept.polyhedron,Chapter 6 terminology decision,term.polyhedron.id,polihedron,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,polyhedral geometry,en,polyhedron,approved,,id-ID,[]
concept.prim-algorithm,Full-corpus id-ID terminology audit,term.prim-algorithm.id,algoritme Prim,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,Prim algorithm,approved,,id-ID,[]
concept.production-planning,Final id-ID corpus terminology audit,term.production-planning.id,model perencanaan produksi,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,R017/O018 Book 1 full-corpus edition,en,production-planning model,approved,,id-ID,[]
concept.lp-modeling-assumptions,Chapter 2 Assumptions section,term.proportionality.id,proporsionalitas,2026-08-23T00:00:00+02:00,academic,[],codex-r017-o018-id-production,interlanguage.term,0.1.0,linear-programming modeling assumption,en,proportionality,approved,,id-ID,[]
